protein_name,uniprot_id,alphafold_id,mw_da,sequence_length,theoretical_pI,net_charge_at_ph,sasa_total_A2,radius_gyration_A,max_dimension_A,min_dimension_A,aspect_ratio,surface_pos_residue_frac,surface_neg_residue_frac,surface_hydrophobic_frac,surface_polar_frac,surface_hbond_donor_density,surface_hbond_acceptor_density,pos_patch_count,neg_patch_count,hyd_patch_count,max_pos_patch_area_A2,max_neg_patch_area_A2,max_hyd_patch_area_A2,pdb_id_or_alphafold_id,source,ph_assumed,ionic_strength_mM,buffer,surface_net_charge_index,surface_aromatic_frac,max_pos_patch_size_res,max_neg_patch_size_res,surface_residue_count,alphafold_pdb_url,sasa_per_residue_A2,net_charge_per_sasa,max_hyd_patch_size_res,alphafold_version,effective_diameter_A,effective_size_geom_A,shape_anisotropy_index,ph_distance_from_neutral,mw_da_norm,sequence_length_norm,theoretical_pI_norm,net_charge_at_ph_norm,sasa_total_A2_norm,radius_gyration_A_norm,max_dimension_A_norm,min_dimension_A_norm,aspect_ratio_norm,surface_pos_residue_frac_norm,surface_neg_residue_frac_norm,surface_hydrophobic_frac_norm,surface_polar_frac_norm,surface_hbond_donor_density_norm,surface_hbond_acceptor_density_norm,pos_patch_count_norm,neg_patch_count_norm,hyd_patch_count_norm,max_pos_patch_area_A2_norm,max_neg_patch_area_A2_norm,max_hyd_patch_area_A2_norm,ph_assumed_norm,ionic_strength_mM_norm,surface_net_charge_index_norm,surface_aromatic_frac_norm,max_pos_patch_size_res_norm,max_neg_patch_size_res_norm,surface_residue_count_norm,sasa_per_residue_A2_norm,net_charge_per_sasa_norm,max_hyd_patch_size_res_norm,effective_diameter_A_norm,effective_size_geom_A_norm,shape_anisotropy_index_norm,ph_distance_from_neutral_norm,electrostatic_interaction_score,transport_size_score,surface_interaction_score,protein_stability_score,overall_protein_interaction_profile
Human Serum Albumin,P02768,AF-P02768-F1,69367.0,609,5.916962,-12.099766,30999.442895,27.12736,95.491001,58.757002,1.625185,0.290043,0.307359,0.225108,0.17316,47.186147,44.82684,49,50,13,62.5,37.5,100.0,AF-P02768-F1,UniProt/AlphaFold,7.4,150.0,PBS,-0.017316,0.038961,5,3,231,https://alphafold.ebi.ac.uk/files/AF-P02768-F1-model_v6.pdb,134.196722,-0.00039,8,v4,54.25472,74.90503946156763,1.6251850460307693,1.4830380000000005,0.44400437527256087,0.42868400315208827,0.3239465667045299,0.44688919899670343,0.41554583209648005,0.4542189574977974,0.44959772643783036,0.2562598099560967,0.08480532153952211,0.7201379112733433,0.9526823231237818,0.06071671979119231,0.06522358631525438,0.5063288517056548,0.5063288570347442,0.6764705882352942,0.6103896103896104,0.08391608391608392,0.3,0.2857142857142857,0.0,0.0,0.0,0.2678761187979974,0.10756501837084163,0.3,0.2857142857142857,0.13625685199686766,0.8902962230502574,0.10645929217584511,0.0,0.4542189574977974,0.34124995540931746,0.08480532318203929,0.41054326277658765,0.45994643130956103,0.5175126014415229,,0.5549092199308042,
Lysozyme (human),P61626,AF-P61626-F1,16537.0,148,9.380359,8.102003,9022.640644,18.202418,71.897001,41.643,1.726509,0.316667,0.066667,0.283333,0.233333,56.666667,53.833333,11,3,4,50.0,25.0,125.0,AF-P61626-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.25,0.05,4,2,60,https://alphafold.ebi.ac.uk/files/AF-P61626-F1-model_v6.pdb,150.377344,0.000898,10,v4,36.404836,54.717518334103936,1.7265086809307688,1.980359,0.06631540567784552,0.06540583136327817,0.8526491711555949,0.8009885904793537,0.11844926749118165,0.2864691179090367,0.32541808562415186,0.16618561222597145,0.09854975622632767,0.8030590888138632,0.06082748501174609,0.2340038630607464,0.29694696467906156,0.8304070246449298,0.8304069904929332,0.11764705882352942,0.0,0.02097902097902098,0.2,0.14285714285714285,0.015748031496062992,0.0,0.0,1.0,0.16874019806150214,0.2,0.14285714285714285,0.0023492560689115163,1.0,0.1473416917949532,0.015748031496062992,0.2864691179090367,0.2349992508858375,0.09854970759786633,0.5486848768124939,0.9433629683808648,0.6806809795583413,,0.3112176127508444,
Bovine serum albumin (BSA),P02769,AF-P02769-F1,69293.0,607,6.084386,-13.899106,30374.357409,27.193318,99.507004,65.892998,1.51013,0.277061,0.263716,0.261944,0.197279,44.578313,42.349398,56,54,20,112.5,100.0,1425.0,AF-P02769-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.013345,0.055422,9,8,498,https://alphafold.ebi.ac.uk/files/AF-P02769-F1-model_v6.pdb,60.992686,-0.000458,114,v4,54.386636,80.97416140694507,1.5101301658789297,1.315614,0.4434753390478778,0.42710795902285265,0.34950456795232665,0.41535011947003464,0.4070955239782103,0.45545867915868843,0.47073470236589066,0.293817893372552,0.06919829918657103,0.6797051165456153,0.7909685116978783,0.17034669333309516,0.15810471510651736,0.4171837332892683,0.4171837503754796,0.7794117647058824,0.6623376623376623,0.13286713286713286,0.7,1.0,0.8346456692913385,0.0,0.0,0.35185033029874785,0.19878746903557237,0.7,1.0,0.34534064212999216,0.393976660232157,0.10430090461831457,0.8346456692913385,0.45545867915868843,0.373192880866272,0.06919831793312081,0.36403764248637743,0.5162498497033929,0.5214752148636047,,0.5929460430507371,
Ovalbumin (chicken),P01012,AF-P01012-F1,42881.0,386,4.954459,-11.866559,16473.487117,21.783969,73.757996,52.970001,1.392448,0.194943,0.224834,0.25465,0.325574,47.601476,45.221402,27,32,15,62.5,50.0,337.5,AF-P01012-F1,UniProt/AlphaFold,7.4,150.0,PBS,-0.029891,0.024679,5,4,271,https://alphafold.ebi.ac.uk/files/AF-P01012-F1-model_v6.pdb,60.787775,-0.00072,27,v4,43.567938,62.50568871613204,1.39244845398436,2.4455410000000004,0.2546523016650343,0.25295508274231676,0.17701630058373496,0.45097688343609554,0.2191746080228816,0.35378659803708296,0.33521285084649877,0.22580173987182112,0.053234928585206565,0.42394635538003467,0.6468960048614559,0.14863855382243596,0.6521626950507554,0.5205262863915894,0.520526271776923,0.3529411764705882,0.37662337662337664,0.0979020979020979,0.3,0.42857142857142855,0.1496062992125984,0.0,0.0,0.2334357642882966,0.028418001762270786,0.3,0.42857142857142855,0.16758026624902114,0.3925873742925591,0.09598476432312332,0.14960629921259844,0.35378659803708296,0.27598985021770067,0.0532349872789461,0.6778991917126309,0.33838812152334374,0.6284684062032685,,0.26190685572828576,
Avidin,P02701,AF-P02701-F1,16768.0,152,10.345617,5.874696,11347.857219,23.117754,76.992004,58.406998,1.318198,0.242588,0.089902,0.414254,0.253256,48.905109,46.459854,15,8,6,25.0,37.5,450.0,AF-P02701-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.152686,0.036518,2,3,137,https://alphafold.ebi.ac.uk/files/AF-P02701-F1-model_v6.pdb,82.831075,0.000518,36,v4,46.235508,67.05871922161944,1.3181982748026186,2.9456170000000004,0.06796685659543741,0.06855791962174941,0.9999999999999999,0.7619480463891283,0.14988304245561557,0.3788559172321988,0.352234040633248,0.25441767335342863,0.04316303766602342,0.5723380134298421,0.14692194250735516,0.6236462174444869,0.373669495833269,0.5650891374612932,0.5650891457543481,0.1764705882352941,0.06493506493506494,0.03496503496503497,0.0,0.2857142857142857,0.2204724409448819,0.0,0.0,0.7334768462221053,0.09402656706326996,0.0,0.2857142857142857,0.06264682850430697,0.5420398036513479,0.13528011426757658,0.2204724409448819,0.3788559172321988,0.2999533024845968,0.04316307260054861,0.8168060663079525,0.6735861821546718,0.6067563919009517,,0.17121698353933362,
Streptavidin,P22629,AF-P22629-F1,18834.0,183,8.574321,1.012386,12425.016881,26.857353,95.706001,57.470001,1.665321,0.170599,0.08416,0.429689,0.315551,47.272727,44.909091,11,12,6,25.0,25.0,725.0,AF-P22629-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.086439,0.038935,2,2,165,https://alphafold.ebi.ac.uk/files/AF-P22629-F1-model_v6.pdb,75.303133,8.1e-05,58,v4,53.714706,74.16349488242852,1.6653210254859747,1.174320999999999,0.08273697605753627,0.0929866036249015,0.7296039673032707,0.676720806527114,0.16444478039440247,0.4491440078860417,0.45072931170420905,0.2494860826564932,0.09024970421874548,0.3481263003151901,0.12564566211399228,0.669583307291899,0.6135645958810209,0.5092884666015767,0.5092884718987174,0.11764705882352942,0.11688311688311688,0.03496503496503497,0.0,0.14285714285714285,0.39370078740157477,0.0,0.0,0.5520398549533857,0.1074209333385056,0.0,0.14285714285714285,0.08457321848081442,0.49100074779437275,0.1214093001110935,0.39370078740157477,0.4491440078860417,0.33734706740877396,0.09024970277898645,0.3247904699922027,0.7309114274496217,0.5207727578542961,,0.619182062579996,
Concanavalin A,P02866,AF-P02866-F1,31480.0,290,5.587401,-5.54144,16481.039091,25.937559,113.256996,45.575001,2.485068,0.17146,0.110712,0.378797,0.339031,48.230088,45.818584,22,20,6,25.0,50.0,712.5,AF-P02866-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.060748,0.100738,2,4,226,https://alphafold.ebi.ac.uk/files/AF-P02866-F1-model_v6.pdb,72.924952,-0.000336,57,v4,51.875118,71.8448864287292,2.4850684259995957,1.8125990000000005,0.17314497737297768,0.17730496453900713,0.27363764773696797,0.5618444410720308,0.21927670047044348,0.4318559071953364,0.5431034854357792,0.18688046989567667,0.2014470424723162,0.35080790840797815,0.22403085838786416,0.5181203739252326,0.7039849658805589,0.5420144988997329,0.5420145056427383,0.27941176470588236,0.2207792207792208,0.03496503496503497,0.0,0.42857142857142855,0.3858267716535433,0.0,0.0,0.48167745752128044,0.4499165969332054,0.0,0.42857142857142855,0.13234142521534847,0.4748768041060451,0.10817330582447232,0.3858267716535433,0.4318559071953364,0.32514379687525097,0.2014470893280767,0.5020859252889033,0.5851041249563009,0.5009950630286379,,0.4641650494288354,
BPTI,P00974,AF-P00974-F1,10903.0,100,8.916382,6.202632,8764.913793,29.094294,93.084999,36.196999,2.571622,0.237126,0.075271,0.459056,0.228547,43.157895,41.0,10,4,3,37.5,25.0,400.0,AF-P00974-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.161854,0.049252,3,2,95,https://alphafold.ebi.ac.uk/files/AF-P00974-F1-model_v6.pdb,92.26225,0.000708,32,v4,58.188588,58.046512519857735,2.5716220010393678,1.5163820000000001,0.026037161220214898,0.027580772261623324,0.7818210655975569,0.7676961537972099,0.1149651499583337,0.49118870620671673,0.4369344873025844,0.13752228900604546,0.213187950844289,0.5553264647622369,0.09270855719992002,0.7569843126400656,0.2785163049338406,0.36862875210152146,0.36862873732742507,0.10294117647058824,0.012987012987012991,0.013986013986013988,0.09999999999999998,0.14285714285714285,0.1889763779527559,0.0,0.0,0.7585861241660368,0.1645949825158355,0.10000000000000003,0.14285714285714285,0.029757243539545807,0.605982680419249,0.1413109030312649,0.1889763779527559,0.49118870620671673,0.2525203707577427,0.21318793941783953,0.41980527660349864,0.8428437234137862,0.43774864732067015,,0.576982875028726,
Ribonuclease A,P61823,AF-P61823-F1,16461.0,150,8.694382,5.645573,9916.527379,22.046427,76.462997,42.179001,1.812821,0.224833,0.058151,0.356542,0.360473,55.639098,52.857143,13,8,11,62.5,25.0,250.0,AF-P61823-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.166682,0.043052,5,2,133,https://alphafold.ebi.ac.uk/files/AF-P61823-F1-model_v6.pdb,74.560356,0.000569,20,v4,44.092854,56.79025292183508,1.8128214321624165,1.2943819999999988,0.06577207117681963,0.06698187549251379,0.7479318007549366,0.7579319468646422,0.13053340398572844,0.3587196594954977,0.34944977771691665,0.16900668587417744,0.11025783769456385,0.5170395794142196,0.0292724860863057,0.4518858462573251,0.7865570942251111,0.7952810311246337,0.7952810171423126,0.14705882352941174,0.06493506493506494,0.06993006993006994,0.3,0.14285714285714285,0.09448818897637795,0.0,0.0,0.771809029261292,0.13023624403571088,0.3,0.14285714285714285,0.05951448707909162,0.4859647583045127,0.1368989049357245,0.09448818897637795,0.3587196594954977,0.24590844121416428,0.11025789033416708,0.3581399974056136,0.8710996597993991,0.6045277103931133,,0.520576317423845,
DNase I,P00639,AF-P00639-F1,31346.0,282,5.301225,-6.846396,13017.263935,19.018649,64.121994,48.552002,1.320687,0.195561,0.121552,0.293418,0.389469,53.266332,50.603015,15,17,13,50.0,62.5,275.0,AF-P00639-F1,UniProt/AlphaFold,7.4,150.0,PBS,0.074009,0.058989,4,5,199,https://alphafold.ebi.ac.uk/files/AF-P00639-F1-model_v6.pdb,65.413387,-0.000526,22,v4,38.037298,55.7965158493968,1.3206869203869287,2.0987750000000007,0.17218699285801095,0.17100078802206464,0.22995163757659998,0.5389709924393079,0.17245115744286516,0.30181068755927903,0.284496767637213,0.20254898370774588,0.04350066644040518,0.4258711333142309,0.2641971557518582,0.26401847602551165,0.8982193194596343,0.7141713799565088,0.7141713560549348,0.1764705882352941,0.18181818181818182,0.08391608391608392,0.2,0.5714285714285714,0.11023622047244094,0.0,0.0,0.5179966258038365,0.21855482712566981,0.2,0.5714285714285714,0.11119812059514489,0.42394878345866244,0.10214251706078402,0.11023622047244094,0.30181068755927903,0.24067821688939434,0.04350065328070549,0.5815774700624793,0.568128870932538,0.6836890946804859,,0.29723540730510895,
